"Crop","Season","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Safflower","Rabi","0.79","1.09","0.65","0.64","0.90","0.61","0.90","0.50","0.43","0.66","777.00","826.00","768.00","672.00","736.00"
"Safflower","Total","0.79","1.09","0.65","0.64","0.90","0.61","0.90","0.50","0.43","0.66","777.00","826.00","768.00","672.00","736.00"
"Total Oil Seeds","Kharif","197.53","197.15","194.98","201.40","196.38","239.72","261.50","241.62","280.23","266.68","1214.00","1326.00","1239.00","1391.00","1358.00"
"Total Oil Seeds","Rabi","91.92","97.83","98.68","93.49","101.86","139.91","141.51","142.78","136.40","149.22","1522.00","1446.00","1447.00","1459.00","1465.00"
"Total Oil Seeds","Summer","","7.41","8.27","9.51","10.62","","10.54","12.29","13.26","14.69","","1423.00","1486.00","1394.00","1383.00"
"Total Oil Seeds","Total","289.45","302.39","301.92","304.40","308.86","379.63","413.55","396.69","429.89","430.59","1312.00","1368.00","1314.00","1412.00","1394.00"
"Sugarcane","Kharif","51.75","58.85","57.40","54.50","58.84","4394.25","4905.33","4531.58","4546.11","5000.63","84906.00","83349.00","78953.00","83416.00","84987.00"
"Sugarcane","Total","51.75","58.85","57.40","54.50","58.84","4394.25","4905.33","4531.58","4546.11","5000.63","84906.00","83349.00","78953.00","83416.00","84987.00"
"Cotton","Kharif","123.72","129.27","126.88","114.84","115.25","311.18","336.60","325.22","297.24","290.24","428.00","443.00","436.00","440.00","428.00"
"Cotton","Total","123.72","129.27","126.88","114.84","115.25","311.18","336.60","325.22","297.24","290.24","428.00","443.00","436.00","440.00","428.00"
"Jute","Kharif","6.29","6.19","5.98","5.44","5.83","97.62","89.89","92.52","84.88","91.76","2793.00","2614.00","2783.00","2807.00","2833.00"
"Jute","Total","6.29","6.19","5.98","5.44","5.83","97.62","89.89","92.52","84.88","91.76","2793.00","2614.00","2783.00","2807.00","2833.00"
"Mesta","Kharif","0.38","0.39","0.39","0.30","0.23","3.87","4.03","4.41","3.13","2.27","1831.00","1871.00","2033.00","1864.00","1784.00"
"Mesta","Total","0.38","0.39","0.39","0.30","0.23","3.87","4.03","4.41","3.13","2.27","1831.00","1871.00","2033.00","1864.00","1784.00"
"Jute & Mesta","Kharif","6.67","6.58","6.37","5.74","6.06","101.49","93.92","96.92","88.02","94.03","2738.00","2570.00","2737.00","2758.00","2793.00"
"Jute & Mesta","Total","6.67","6.58","6.37","5.74","6.06","101.49","93.92","96.92","88.02","94.03","2738.00","2570.00","2737.00","2758.00","2793.00"
