state,district,crop,season,crop_year,area_hectare,production_tonne,yield_kg_per_hectare
All India,,Sunflower,Rabi,2024,0.81,1.21,1481.00
All India,,Sunflower,Rabi,2025,1.03,1.38,1350.00
All India,,Sunflower,Summer,2022,0.36,0.43,1181.00
All India,,Sunflower,Summer,2023,0.32,0.39,1247.00
All India,,Sunflower,Summer,2024,0.35,0.43,1241.00
All India,,Sunflower,Summer,2025,0.35,0.44,1277.00
All India,,Sunflower,Total,2021,2.71,2.50,923.00
All India,,Sunflower,Total,2022,3.64,3.63,996.00
All India,,Sunflower,Total,2023,1.51,1.73,1144.00
All India,,Sunflower,Total,2024,1.94,2.36,1214.00
All India,,Sunflower,Total,2025,2.25,2.70,1201.00
All India,,Rapeseed & Mustard,Rabi,2021,79.91,119.63,1497.00
All India,,Rapeseed & Mustard,Rabi,2022,88.52,126.43,1428.00
All India,,Rapeseed & Mustard,Rabi,2023,91.83,132.59,1444.00
All India,,Rapeseed & Mustard,Rabi,2024,86.57,126.67,1463.00
All India,,Rapeseed & Mustard,Rabi,2025,94.27,137.68,1460.00
All India,,Rapeseed & Mustard,Total,2021,79.91,119.63,1497.00
All India,,Rapeseed & Mustard,Total,2022,88.52,126.43,1428.00
All India,,Rapeseed & Mustard,Total,2023,91.83,132.59,1444.00
All India,,Rapeseed & Mustard,Total,2024,86.57,126.67,1463.00
All India,,Rapeseed & Mustard,Total,2025,94.27,137.68,1460.00
All India,,Linseed,Rabi,2021,1.97,1.26,642.00
All India,,Linseed,Rabi,2022,2.39,1.67,698.00
All India,,Linseed,Rabi,2023,1.75,1.13,644.00
All India,,Linseed,Rabi,2024,1.69,1.12,666.00
All India,,Linseed,Rabi,2025,1.94,1.61,828.00
All India,,Linseed,Total,2021,1.97,1.26,642.00
All India,,Linseed,Total,2022,2.39,1.67,698.00
All India,,Linseed,Total,2023,1.75,1.13,644.00
All India,,Linseed,Total,2024,1.69,1.12,666.00
All India,,Linseed,Total,2025,1.94,1.61,828.00
All India,,Safflower,Rabi,2021,0.79,0.61,777.00
All India,,Safflower,Rabi,2022,1.09,0.90,826.00
All India,,Safflower,Rabi,2023,0.65,0.50,768.00
All India,,Safflower,Rabi,2024,0.64,0.43,672.00
All India,,Safflower,Rabi,2025,0.90,0.66,736.00
All India,,Safflower,Total,2021,0.79,0.61,777.00
All India,,Safflower,Total,2022,1.09,0.90,826.00
All India,,Safflower,Total,2023,0.65,0.50,768.00
All India,,Safflower,Total,2024,0.64,0.43,672.00
All India,,Safflower,Total,2025,0.90,0.66,736.00
All India,,Total Oil Seeds,Kharif,2021,197.53,239.72,1214.00
All India,,Total Oil Seeds,Kharif,2022,197.15,261.50,1326.00
All India,,Total Oil Seeds,Kharif,2023,194.98,241.62,1239.00
All India,,Total Oil Seeds,Kharif,2024,201.40,280.23,1391.00
All India,,Total Oil Seeds,Kharif,2025,196.38,266.68,1358.00
All India,,Total Oil Seeds,Rabi,2021,91.92,139.91,1522.00
All India,,Total Oil Seeds,Rabi,2022,97.83,141.51,1446.00
All India,,Total Oil Seeds,Rabi,2023,98.68,142.78,1447.00
All India,,Total Oil Seeds,Rabi,2024,93.49,136.40,1459.00
All India,,Total Oil Seeds,Rabi,2025,101.86,149.22,1465.00
All India,,Total Oil Seeds,Summer,2022,7.41,10.54,1423.00
All India,,Total Oil Seeds,Summer,2023,8.27,12.29,1486.00
All India,,Total Oil Seeds,Summer,2024,9.51,13.26,1394.00
All India,,Total Oil Seeds,Summer,2025,10.62,14.69,1383.00
All India,,Total Oil Seeds,Total,2021,289.45,379.63,1312.00
All India,,Total Oil Seeds,Total,2022,302.39,413.55,1368.00
All India,,Total Oil Seeds,Total,2023,301.92,396.69,1314.00
All India,,Total Oil Seeds,Total,2024,304.40,429.89,1412.00
All India,,Total Oil Seeds,Total,2025,308.86,430.59,1394.00
All India,,Sugarcane,Kharif,2021,51.75,4394.25,84906.00
All India,,Sugarcane,Kharif,2022,58.85,4905.33,83349.00
All India,,Sugarcane,Kharif,2023,57.40,4531.58,78953.00
All India,,Sugarcane,Kharif,2024,54.50,4546.11,83416.00
All India,,Sugarcane,Kharif,2025,58.84,5000.63,84987.00
All India,,Sugarcane,Total,2021,51.75,4394.25,84906.00
All India,,Sugarcane,Total,2022,58.85,4905.33,83349.00
All India,,Sugarcane,Total,2023,57.40,4531.58,78953.00
All India,,Sugarcane,Total,2024,54.50,4546.11,83416.00
All India,,Sugarcane,Total,2025,58.84,5000.63,84987.00
All India,,Cotton,Kharif,2021,123.72,311.18,428.00
All India,,Cotton,Kharif,2022,129.27,336.60,443.00
All India,,Cotton,Kharif,2023,126.88,325.22,436.00
All India,,Cotton,Kharif,2024,114.84,297.24,440.00
All India,,Cotton,Kharif,2025,115.25,290.24,428.00
All India,,Cotton,Total,2021,123.72,311.18,428.00
All India,,Cotton,Total,2022,129.27,336.60,443.00
All India,,Cotton,Total,2023,126.88,325.22,436.00
All India,,Cotton,Total,2024,114.84,297.24,440.00
All India,,Cotton,Total,2025,115.25,290.24,428.00
All India,,Jute,Kharif,2021,6.29,97.62,2793.00
All India,,Jute,Kharif,2022,6.19,89.89,2614.00
All India,,Jute,Kharif,2023,5.98,92.52,2783.00
All India,,Jute,Kharif,2024,5.44,84.88,2807.00
All India,,Jute,Kharif,2025,5.83,91.76,2833.00
All India,,Jute,Total,2021,6.29,97.62,2793.00
All India,,Jute,Total,2022,6.19,89.89,2614.00
All India,,Jute,Total,2023,5.98,92.52,2783.00
All India,,Jute,Total,2024,5.44,84.88,2807.00
All India,,Jute,Total,2025,5.83,91.76,2833.00
All India,,Mesta,Kharif,2021,0.38,3.87,1831.00
All India,,Mesta,Kharif,2022,0.39,4.03,1871.00
