state,district,crop,season,crop_year,area_hectare,production_tonne,yield_kg_per_hectare
Karnataka,,Rice,Rabi,2024,0.41,1.17,2842.00
Karnataka,,Rice,Rabi,2025,0.23,0.63,2737.00
Karnataka,,Rice,Summer,2022,2.90,8.74,3016.00
Karnataka,,Rice,Summer,2023,0.61,1.89,3093.00
Karnataka,,Rice,Summer,2024,2.54,8.24,3245.00
Karnataka,,Rice,Summer,2025,2.29,7.33,3201.00
Karnataka,,Rice,Total,2021,13.98,43.18,3089.00
Karnataka,,Rice,Total,2022,13.28,42.80,3223.00
Karnataka,,Rice,Total,2023,9.53,31.27,3282.00
Karnataka,,Rice,Total,2024,11.81,39.49,3344.00
Karnataka,,Rice,Total,2025,11.47,37.50,3270.00
Kerala,,Rice,Kharif,2021,1.50,3.42,2274.00
Kerala,,Rice,Kharif,2022,0.50,1.37,2716.00
Kerala,,Rice,Kharif,2023,0.45,1.16,2593.00
Kerala,,Rice,Kharif,2024,0.41,1.10,2651.00
Kerala,,Rice,Kharif,2025,0.37,0.96,2637.00
Kerala,,Rice,Rabi,2021,0.45,1.45,3195.00
Kerala,,Rice,Rabi,2022,0.71,2.25,3149.00
Kerala,,Rice,Rabi,2023,0.72,1.95,2711.00
Kerala,,Rice,Rabi,2024,0.69,2.09,3045.00
Kerala,,Rice,Rabi,2025,0.77,2.50,3270.00
Kerala,,Rice,Summer,2022,0.70,2.34,3350.00
Kerala,,Rice,Summer,2023,0.63,1.86,2941.00
Kerala,,Rice,Summer,2024,0.66,1.97,2966.00
Kerala,,Rice,Summer,2025,0.53,1.68,3190.00
Kerala,,Rice,Total,2021,1.96,4.87,2488.00
Kerala,,Rice,Total,2022,1.92,5.96,3108.00
Kerala,,Rice,Total,2023,1.80,4.98,2762.00
Kerala,,Rice,Total,2024,1.77,5.16,2923.00
Kerala,,Rice,Total,2025,1.66,5.15,3105.00
Ladakh,,Rice,Kharif,2021,0.00,0.00,0.00
Ladakh,,Rice,Rabi,2021,0.00,0.00,0.00
Ladakh,,Rice,Total,2021,0.00,0.00,0.00
Lakshadweep,,Rice,Kharif,2021,0.00,0.00,0.00
Lakshadweep,,Rice,Rabi,2021,0.00,0.00,0.00
Lakshadweep,,Rice,Total,2021,0.00,0.00,0.00
Madhya Pradesh,,Rice,Kharif,2021,21.09,48.15,2283.00
Madhya Pradesh,,Rice,Kharif,2022,34.14,70.22,2057.00
Madhya Pradesh,,Rice,Kharif,2023,34.40,71.11,2067.00
Madhya Pradesh,,Rice,Kharif,2024,38.30,89.45,2336.00
Madhya Pradesh,,Rice,Kharif,2025,42.10,99.81,2371.00
Madhya Pradesh,,Rice,Rabi,2021,0.00,0.00,0.00
Madhya Pradesh,,Rice,Rabi,2024,0.53,1.58,2974.00
Madhya Pradesh,,Rice,Summer,2023,0.40,1.29,3215.00
Madhya Pradesh,,Rice,Summer,2024,0.02,0.06,3140.00
Madhya Pradesh,,Rice,Summer,2025,0.41,1.29,3141.00
Madhya Pradesh,,Rice,Total,2021,21.09,48.15,2283.00
Madhya Pradesh,,Rice,Total,2022,34.14,70.22,2057.00
Madhya Pradesh,,Rice,Total,2023,34.80,72.40,2080.00
Madhya Pradesh,,Rice,Total,2024,38.85,91.09,2345.00
Madhya Pradesh,,Rice,Total,2025,42.51,101.09,2378.00
Maharashtra,,Rice,Kharif,2021,15.49,32.95,2127.00
Maharashtra,,Rice,Kharif,2022,15.55,34.54,2221.00
Maharashtra,,Rice,Kharif,2023,15.25,34.63,2270.00
Maharashtra,,Rice,Kharif,2024,15.21,34.30,2255.00
Maharashtra,,Rice,Kharif,2025,15.19,29.43,1938.00
Maharashtra,,Rice,Rabi,2021,1.03,3.03,2954.00
Maharashtra,,Rice,Summer,2022,1.63,4.45,2732.00
Maharashtra,,Rice,Summer,2023,1.68,4.37,2611.00
Maharashtra,,Rice,Summer,2024,1.61,4.37,2716.00
Maharashtra,,Rice,Summer,2025,1.68,4.57,2716.00
Maharashtra,,Rice,Total,2021,16.52,35.98,2178.00
Maharashtra,,Rice,Total,2022,17.18,38.99,2269.00
Maharashtra,,Rice,Total,2023,16.93,39.00,2304.00
Maharashtra,,Rice,Total,2024,16.82,38.67,2299.00
Maharashtra,,Rice,Total,2025,16.87,34.00,2016.00
Manipur,,Rice,Kharif,2021,0.05,0.15,3008.00
Manipur,,Rice,Kharif,2022,0.06,0.18,3091.00
Manipur,,Rice,Kharif,2023,0.06,0.17,2970.00
Manipur,,Rice,Kharif,2024,1.55,3.62,2340.00
Manipur,,Rice,Rabi,2021,1.95,5.52,2832.00
Manipur,,Rice,Summer,2022,1.81,3.31,1835.00
Manipur,,Rice,Summer,2023,1.65,3.31,2010.00
Manipur,,Rice,Summer,2024,0.15,0.56,3780.00
Manipur,,Rice,Total,2021,2.00,5.67,2836.00
Manipur,,Rice,Total,2022,1.86,3.49,1874.00
Manipur,,Rice,Total,2023,1.70,3.48,2042.00
Manipur,,Rice,Total,2024,1.69,4.17,2465.00
Meghalaya,,Rice,Kharif,2021,0.95,2.34,2469.00
Meghalaya,,Rice,Kharif,2022,0.95,2.22,2333.00
Meghalaya,,Rice,Kharif,2023,0.95,2.08,2180.00
Meghalaya,,Rice,Kharif,2024,0.95,2.22,2333.00
Meghalaya,,Rice,Rabi,2021,0.14,0.63,4626.00
Meghalaya,,Rice,Rabi,2022,0.12,0.57,4566.00
Meghalaya,,Rice,Rabi,2023,0.12,0.57,4566.00
Meghalaya,,Rice,Rabi,2024,0.12,0.57,4566.00
Meghalaya,,Rice,Total,2021,1.08,2.97,2741.00
Meghalaya,,Rice,Total,2022,1.08,2.79,2591.00
Meghalaya,,Rice,Total,2023,1.08,2.65,2456.00
Meghalaya,,Rice,Total,2024,1.08,2.79,2592.00
Mizoram,,Rice,Kharif,2021,0.34,0.60,1740.00
Mizoram,,Rice,Kharif,2022,0.34,0.39,1149.00
Mizoram,,Rice,Kharif,2023,0.24,0.39,1600.00
Mizoram,,Rice,Kharif,2024,0.20,0.35,1705.00
Mizoram,,Rice,Rabi,2021,0.00,0.01,2008.00
Mizoram,,Rice,Rabi,2022,0.01,0.01,1320.00
Mizoram,,Rice,Rabi,2023,0.01,0.01,2080.00
Mizoram,,Rice,Rabi,2024,0.00,0.00,2074.00
Mizoram,,Rice,Total,2021,0.35,0.61,1744.00
Mizoram,,Rice,Total,2022,0.34,0.39,1151.00
Mizoram,,Rice,Total,2023,0.25,0.40,1610.00
Mizoram,,Rice,Total,2024,0.21,0.35,1709.00
Nagaland,,Rice,Kharif,2021,1.22,1.50,1233.00
Nagaland,,Rice,Kharif,2022,2.08,3.64,1748.00
Nagaland,,Rice,Kharif,2023,2.08,3.64,1751.00
Nagaland,,Rice,Kharif,2024,1.96,3.40,1734.00
Nagaland,,Rice,Rabi,2021,0.00,0.00,1800.00
Nagaland,,Rice,Rabi,2022,0.03,0.06,1995.00
Nagaland,,Rice,Rabi,2023,0.02,0.05,1999.00
