subdivision,year,month,rainfall_mm
Andaman & Nicobar Islands,1927,9,126.2
Andaman & Nicobar Islands,1927,10,327.5
Andaman & Nicobar Islands,1927,11,274.1
Andaman & Nicobar Islands,1927,12,65.5
Andaman & Nicobar Islands,1928,1,50.9
Andaman & Nicobar Islands,1928,2,67.6
Andaman & Nicobar Islands,1928,3,80.7
Andaman & Nicobar Islands,1928,4,129.3
Andaman & Nicobar Islands,1928,5,499.5
Andaman & Nicobar Islands,1928,6,410.2
Andaman & Nicobar Islands,1928,7,406.3
Andaman & Nicobar Islands,1928,8,391.5
Andaman & Nicobar Islands,1928,9,404.8
Andaman & Nicobar Islands,1928,10,444.5
Andaman & Nicobar Islands,1928,11,99.5
Andaman & Nicobar Islands,1928,12,13.5
Andaman & Nicobar Islands,1929,1,74.2
Andaman & Nicobar Islands,1929,2,118.4
Andaman & Nicobar Islands,1929,3,129.2
Andaman & Nicobar Islands,1929,4,69.8
Andaman & Nicobar Islands,1929,5,316.6
Andaman & Nicobar Islands,1929,6,588.8
Andaman & Nicobar Islands,1929,7,134
Andaman & Nicobar Islands,1929,8,644.7
Andaman & Nicobar Islands,1929,9,172.9
Andaman & Nicobar Islands,1929,10,413
Andaman & Nicobar Islands,1929,11,251.5
Andaman & Nicobar Islands,1929,12,13.5
Andaman & Nicobar Islands,1930,1,87.4
Andaman & Nicobar Islands,1930,2,105.4
Andaman & Nicobar Islands,1930,3,131.2
Andaman & Nicobar Islands,1930,4,10.9
Andaman & Nicobar Islands,1930,5,231.5
Andaman & Nicobar Islands,1930,6,533.6
Andaman & Nicobar Islands,1930,7,317.9
Andaman & Nicobar Islands,1930,8,446.7
Andaman & Nicobar Islands,1930,9,677.2
Andaman & Nicobar Islands,1930,10,82.3
Andaman & Nicobar Islands,1930,11,249.4
Andaman & Nicobar Islands,1930,12,201.6
Andaman & Nicobar Islands,1931,1,25.3
Andaman & Nicobar Islands,1931,2,0
Andaman & Nicobar Islands,1931,3,2.5
Andaman & Nicobar Islands,1931,4,2.5
Andaman & Nicobar Islands,1931,5,205.4
Andaman & Nicobar Islands,1931,6,393.5
Andaman & Nicobar Islands,1931,7,289.3
Andaman & Nicobar Islands,1931,8,571
Andaman & Nicobar Islands,1931,9,294.4
Andaman & Nicobar Islands,1931,10,368.3
Andaman & Nicobar Islands,1931,11,22.8
Andaman & Nicobar Islands,1931,12,182.7
Andaman & Nicobar Islands,1932,1,2.8
Andaman & Nicobar Islands,1932,2,2.5
Andaman & Nicobar Islands,1932,3,10.1
Andaman & Nicobar Islands,1932,4,58.2
Andaman & Nicobar Islands,1932,5,479.7
Andaman & Nicobar Islands,1932,6,
Andaman & Nicobar Islands,1932,7,
Andaman & Nicobar Islands,1932,8,
Andaman & Nicobar Islands,1932,9,
Andaman & Nicobar Islands,1932,10,
Andaman & Nicobar Islands,1932,11,
Andaman & Nicobar Islands,1932,12,
Andaman & Nicobar Islands,1933,1,4.5
Andaman & Nicobar Islands,1933,2,11.7
